variable;description;source
Year;Year used;Temperature data
Country_code;Country code (ISO 3166 international standard - alpha of 2 characters);Temperature data
Mean_temperature;Average temperature;Temperature data
Min_temperature;Minimum temperature;Temperature data
Max_temperature;Maximum temperature;Temperature data
Country;Country name;Temperature data
Country_code3;Country code (ISO 3166 international standard - alpha of 3 characters);Temperature data
beds_mental_gen_hospt_per100K;Beds for mental health in general hospitals (per 100 000 population);Beds
beds_comunity_resid_per100K;Beds in community residential facilities (per 100 000 population);Beds
beds_mental_hospt_per100K;Beds in mental hospitals (per 100 000 population)  ;Beds
nurses_mntl_per100K;Nurses working in mental health sector (per 100 000 population);Human resources
psychiats_mntl_per100K;Psychiatrists working in mental health sector (per 100 000 population);Human resources
psychols_mntl_per100K;Psychologists working in mental health sector (per 100 000 population);Human resources
social_wkrs_mntl_per100K;Social workers working in mental health sector (per 100 000 population);Human resources
expend_mental_hosp_perc;Government expenditures on mental hospitals as a percentage of total government expenditures on mental health (%);Mental health governance
stand_alone_law_ment_hea;Stand-alone law for mental health;Mental health governance
year_law_enacted;Year the law was enacted (latest revision);Mental health governance
stand_alone_poli_ment_hea;Stand-alone policy or plan for mental health;Mental health governance
year_policy_publication;Publication year of the policy or plan (latest revision);Mental health governance
suicide_rate_est;Estimated suicide rate (punctual estimation per 100K);Suicide rate estimates, crude
suicide_rate_low;Estimated suicide rate (low limit estimation per 100K);Suicide rate estimates, crude
suicide_rate_high;Estimated suicide rate (high limit estimation per 100K);Suicide rate estimates, crude
suicide_rate_est_MEN;Estimated suicide rate (punctual estimation per 100K) for men;Suicide rate estimates, crude
suicide_rate_low_MEN;Estimated suicide rate (punctual estimation per 100K) for men;Suicide rate estimates, crude
suicide_rate_high_MEN;Estimated suicide rate (punctual estimation per 100K) for men;Suicide rate estimates, crude
suicide_rate_est_WMEN;Estimated suicide rate (punctual estimation per 100K) for women;Suicide rate estimates, crude
suicide_rate_low_WMEN;Estimated suicide rate (punctual estimation per 100K) for women;Suicide rate estimates, crude
suicide_rate_high_WMEN;Estimated suicide rate (punctual estimation per 100K) for women;Suicide rate estimates, crude
comm_resi_faclts_per100K;Community residential facilities (per 100 000 population);Facilities
ment_heal_day_per100K;Mental health day treatment facilities (per 100 000 population);Facilities
ment_heal_out_per100K;Mental health outpatient facilities (per 100 000 population);Facilities
ment_heal_gen_hosp_per100K;Mental health units in general hospitals (per 100 000 population);Facilities
ment_hosp_per100K;Mental hospitals (per 100 000 population);Facilities
Population;Country population;Population
Per-Pre-Bot-Men_dis;Percent of Prevalence for Mental disorders (sex: Both);Global Burden of Disease study
Rat-Pre-Bot-Men_dis;Rate of Prevalence for Mental disorders (sex: Both);Global Burden of Disease study
Num-Pre-Bot-Men_dis;Number of Prevalence for Mental disorders (sex: Both);Global Burden of Disease study
Per-Pre-Bot-Res_inf_and_tub;Percent of Prevalence for Respiratory infections and tuberculosis (sex: Both);Global Burden of Disease study
Rat-Pre-Bot-Res_inf_and_tub;Rate of Prevalence for Respiratory infections and tuberculosis (sex: Both);Global Burden of Disease study
Num-Pre-Bot-Res_inf_and_tub;Number of Prevalence for Respiratory infections and tuberculosis (sex: Both);Global Burden of Disease study
Per-Pre-Bot-Neo;Percent of Prevalence for Neoplasms (sex: Both);Global Burden of Disease study
Rat-Pre-Bot-Neo;Rate of Prevalence for Neoplasms (sex: Both);Global Burden of Disease study
Num-Pre-Bot-Neo;Number of Prevalence for Neoplasms (sex: Both);Global Burden of Disease study
Per-Pre-Bot-Car_dis;Percent of Prevalence for Cardiovascular diseases (sex: Both);Global Burden of Disease study
Rat-Pre-Bot-Car_dis;Rate of Prevalence for Cardiovascular diseases (sex: Both);Global Burden of Disease study
Num-Pre-Bot-Car_dis;Number of Prevalence for Cardiovascular diseases (sex: Both);Global Burden of Disease study
Per-Pre-Bot-Chr_res_dis;Percent of Prevalence for Chronic respiratory diseases (sex: Both);Global Burden of Disease study
Rat-Pre-Bot-Chr_res_dis;Rate of Prevalence for Chronic respiratory diseases (sex: Both);Global Burden of Disease study
Num-Pre-Bot-Chr_res_dis;Number of Prevalence for Chronic respiratory diseases (sex: Both);Global Burden of Disease study
Per-Pre-Bot-Neu_dis;Percent of Prevalence for Neurological disorders (sex: Both);Global Burden of Disease study
Rat-Pre-Bot-Neu_dis;Rate of Prevalence for Neurological disorders (sex: Both);Global Burden of Disease study
Num-Pre-Bot-Neu_dis;Number of Prevalence for Neurological disorders (sex: Both);Global Burden of Disease study
