;count;unique;top;freq;mean;std;min;0%;1%;5%;10%;25%;50%;75%;90%;95%;99%;100%;max;missing;total count;% missing;variability;variability_decision;completeness_decision
Year;560.0;;;;2009.5;5.771436668322538;2000.0;2000.0;2000.0;2000.95;2001.9;2004.75;2009.5;2014.25;2017.1;2018.05;2019.0;2019.0;2019.0;0.0;560.0;0.0;high_variation;accept;accept_100
Country_code;560;28;AT;20;;;;;;;;;;;;;;;;0;560;0.0;high_variation;accept;accept_100
Mean_temperature;560.0;;;;9.670117350603437;3.0965275598495743;2.2493894977168947;2.2493894977168947;3.610314451318711;4.8300224324269525;5.72323418020311;7.668958817323527;9.573817489301844;11.09890339611872;14.876232078717221;15.64787595890411;16.943016307414478;17.218523173515983;17.218523173515983;0.0;560.0;0.0;high_variation;accept;accept_100
Min_temperature;560.0;;;;-11.291046428571427;7.452040864257473;-37.095;-37.095;-28.75828;-23.2856;-20.3523;-16.30625;-11.9285;-5.059;-0.8600999999999991;0.33659999999999674;2.3955899999999906;4.142;4.142;0.0;560.0;0.0;high_variation;accept;accept_100
Max_temperature;560.0;;;;30.675266071428574;4.469309092722124;19.546;19.546;20.6849;22.85015;24.5389;27.61825;31.15;33.975;36.0469;37.2999;39.55232999999999;40.854;40.854;0.0;560.0;0.0;high_variation;accept;accept_100
Country;560;28;Austria;20;;;;;;;;;;;;;;;;0;560;0.0;high_variation;accept;accept_100
Country_code3;560;28;AUT;20;;;;;;;;;;;;;;;;0;560;0.0;high_variation;accept;accept_100
suicide_rate_est;560.0;;;;15.60532392857143;7.093196822582796;2.91;2.91;3.4172000000000002;6.9275;7.899;11.63055;14.4885;18.65955;23.330470000000005;29.15596999999999;41.38260699999993;50.0964;50.0964;0.0;560.0;0.0;high_variation;accept;accept_100
suicide_rate_low;560.0;;;;13.371791964285714;6.216037531770169;2.43;2.43;2.8554;6.248;7.0760000000000005;9.3275;12.21995;16.233424999999997;19.73989;24.860554999999984;36.220255999999935;44.2831;44.2831;0.0;560.0;0.0;high_variation;accept;accept_100
suicide_rate_high;560.0;;;;18.525516249999995;8.534222279173639;3.46;3.46;4.0408;7.8095;8.878;13.57625;17.234949999999998;22.243100000000002;28.000780000000002;34.2323;49.32757399999997;66.1146;66.1146;0.0;560.0;0.0;high_variation;accept;accept_100
suicide_rate_est_MEN;560.0;;;;24.590989464285716;12.565938005504776;4.68;4.68;5.5698;10.792565;12.01417;16.560075;21.841250000000002;28.971175;39.69994000000001;47.914645;73.15968399999988;86.158;86.158;0.0;560.0;0.0;high_variation;accept;accept_100
suicide_rate_low_MEN;560.0;;;;21.28154089285714;11.10557360802745;3.95;3.95;4.7221;9.57;10.931899999999999;14.434525;18.61805;25.125575;35.19035;41.65193499999998;64.77245099999989;77.0112;77.0112;0.0;560.0;0.0;high_variation;accept;accept_100
suicide_rate_high_MEN;560.0;;;;28.98598339285714;15.248352626442959;5.48;5.48;6.4939;11.65736;13.369250000000001;19.93105;26.2808;33.7113;46.483260000000016;56.06494499999992;86.42209999999986;116.9414;116.9414;0.0;560.0;0.0;high_variation;accept;accept_100
suicide_rate_est_WMEN;560.0;;;;7.239805357142856;3.115890531088084;0.737;0.737;1.1818;3.24;3.51;4.54;7.115;9.29;11.66192;12.479869999999998;15.284017;18.3685;18.3685;0.0;560.0;0.0;high_variation;accept;accept_100
suicide_rate_low_WMEN;560.0;;;;6.005535178571428;2.6249141290791447;0.579;0.579;0.93721;2.5175;3.02;3.8375;5.74;7.74;9.755;10.452515;12.863412;15.4882;15.4882;0.0;560.0;0.0;high_variation;accept;accept_100
suicide_rate_high_WMEN;560.0;;;;8.794210714285715;3.787455784790822;0.925;0.925;1.4859;3.6694999999999998;4.156000000000001;5.5075;8.715;11.332125;13.837330000000001;15.21665;18.548159999999978;21.3959;21.3959;0.0;560.0;0.0;high_variation;accept;accept_100
Population;560.0;;;;18329719.798214287;22449302.624582645;436300.0;436300.0;469570.61;1327409.8;2033018.7000000002;4649259.0;8876014.5;17851567.5;60637806.400000006;66071519.39999999;82477241.92999999;83092962.0;83092962.0;0.0;560.0;0.0;high_variation;accept;accept_100
Country_cross;560;28;austria;20;;;;;;;;;;;;;;;;0;560;0.0;high_variation;accept;accept_100
Num-Pre-Bot-Men_dis;560.0;;;;2675446.5625600023;3393137.2662980505;63254.88030131118;63254.88030131118;67333.65122593475;169745.64113120118;249852.45474972262;631859.7535193025;1207412.9248550967;2498538.6057869773;9055697.634279499;10244917.338132637;12303844.15749588;12609726.36140328;12609726.36140328;0.0;560.0;0.0;high_variation;accept;accept_100
Per-Pre-Bot-Men_dis;560.0;;;;0.14902956894703567;0.021721277013293804;0.1096146362903923;0.1096146362903923;0.11028877181122711;0.11889085814890395;0.12052532476800684;0.1267691749673465;0.15179713229224784;0.16271280206940233;0.17708761146122123;0.18512302051379984;0.19591047516644677;0.2001392680463341;0.2001392680463341;0.0;560.0;0.0;high_variation;accept;accept_100
